Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
103,7.1,3,5.9,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
105,6.5,3,5.8,2.2,Iris-virginica
106,7.6,3,6.6,2.1,Iris-virginica
107,4.9,2.5,4.5,1.7,Iris-virginica
108,7.3,2.9,6.3,1.8,Iris-virginica
109,6.7,2.5,5.8,1.8,Iris-virginica
110,7.2,3.6,6.1,2.5,Iris-virginica
111,6.5,3.2,5.1,2,Iris-virginica
112,6.4,2.7,5.3,1.9,Iris-virginica
113,6.8,3,5.5,2.1,Iris-virginica
114,5.7,2.5,5,2,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
117,6.5,3,5.5,1.8,Iris-virginica
